global_ids,bat_ids,LongName,Label_number,areas,volumes,perimeter,X,Y,Z,aspect_ratio,Boundary_line,surface_areas,ax1s
04au2AT9H9jfbPccGosL$R,73966,설비관련공간,33400,5.562478072,22.69491053,9.449982438,2.224991307,2.499999912,4.08,0.889996554,4,167.1078534,7.363230323
0mciS8ibbF8ev8nWpsGnhh,87406,설비관련공간,33400,36.47393214,204.2534526,28.74463138,5.314592206,8,5.6,0.664324026,17,181.096,0.886623936
0Oc6gJuPP8E9GYTX5QstCz,1766,주차장,33113,728.6734388,2731.279709,146.5292047,42.10000007,23.6,3.85,1.783898308,26,2156.615304,0.789598845
0oyJ7ih8D7tBHL7zO_WQO6,86054,사무실,33606,107.2288006,330.2647057,42.83581204,13.45564066,8.100034962,3.08,1.661183035,12,347.2405629,1.051400761
0r4si6R5r5vxUJIluidhTf,74147,설비관련공간,33400,36.70495781,116.7217658,26.29998261,7.69999127,4.85000002,3.18,1.58762706,12,573.702458,4.915128332
0r4si6R5r5vxUJIluidhTn,74431,설비관련공간,33400,36.83495781,113.4516701,26.09998261,7.69999127,4.85000002,3.08,1.58762706,11,399.8321283,3.524250705
0r4si6R5r5vxUJIluidhUA,74699,설비관련공간,33400,36.83495781,131.869149,26.09998261,7.69999127,4.85000002,3.58,1.58762706,11,459.3798816,3.483603899
0tYH3kFkjABPxtnDy0hWRV,3902,설비관련공간,33400,323.1694578,1798.16307,73.29979134,16.7,19.59996504,5.65,0.852042336,15,255.6170138,0.142154523
0tYH3kFkjABPxtnDy0hWU1,4717,창고,33227,12.49421447,49.97642888,18.43977072,5.890157579,4.955736877,4,1.188553332,4,90.74700023,1.815796012
0tYH3kFkjABPxtnDy0hWUE,4780,창고,33227,9.841500038,55.11240021,12.69000003,2.7,3.645000014,5.6,0.740740738,4,57.71299971,1.047187194
0tYH3kFkjABPxtnDy0hWUV,4522,설비관련공간,33400,48.46055391,271.3791094,28.33855464,6.6,7.599965316,5.6,0.868425016,9,99.83071301,0.367864399
0tYH3kFkjABPxtnDy0hWVp,4865,창고,33227,4.468499953,25.02359974,8.709999965,2.7,1.654999983,5.6,1.631419957,5,90.19434814,3.604371436
0tYH3kFkjABPxtnDy0hWVU,5763,설비관련공간,33400,21.32044845,78.68334126,20.89168143,5.09729119,5.7,3.85,0.894261612,10,114.8159999,1.459216119
0tYH3kFkjABPxtnDy0hWVv,4962,계단실,33101,14.31015671,54.37859551,16.20369335,2.601846677,5.499999997,3.8,0.473063032,5,53.73693239,0.988200079
0tYH3kFkjABPxtnDy0hWVW,5378,홀,33118,14.56766689,53.17198415,16.54369335,5.716846677,2.555,3.65,2.237513376,9,119.8362045,2.253747089
0tYH3kFkjABPxtnDy0hWVZ,5179,출입구 및 전실,33114,6.933878032,25.30905574,10.80369336,3.301846677,2.100000003,3.85,1.572307939,5,89.51981452,3.537066552
0tYH3kFkjABPxtnDy0hX26,33204,복도,33105,90.51655552,242.5843688,84.18460843,16.10999218,14.72496563,2.68,1.094059748,44,95.01999996,0.391698774
0tYH3kFkjABPxtnDy0hX53,34612,출입구 및 전실,33114,6.930018343,20.65145466,10.80001747,3.30000873,2.100000003,2.98,1.571432726,5,59.33704511,2.873262251
0tYH3kFkjABPxtnDy0hX54,34795,화장실,33234,17.27605401,46.81810637,22.01996514,3.239991307,5.439999997,2.71,0.595586638,12,393.8698846,8.412768374
0tYH3kFkjABPxtnDy0hX59,35005,화장실,33234,11.02367545,29.87416046,13.76003477,2.540017386,4.339999997,2.71,0.585257463,4,341.7871156,11.44089442
0tYH3kFkjABPxtnDy0hX5e,34010,계단실,33101,14.29999999,58.62999996,16.19999999,2.6,5.499999997,4.1,0.472727273,7,94.22621354,1.607133099
0tYH3kFkjABPxtnDy0hX5h,33886,계단실,33101,14.300048,58.63019682,16.20001745,2.60000873,5.499999997,4.1,0.47272886,6,59.33704511,1.012056045
0tYH3kFkjABPxtnDy0hX5I,34120,화장실,33234,11.02367545,29.87416046,13.76003477,2.540017386,4.339999997,2.71,0.585257463,4,46.04408873,1.54126804
0tYH3kFkjABPxtnDy0hX5N,34241,화장실,33234,17.27605401,46.81810637,22.01996514,3.239991307,5.439999997,2.71,0.595586638,12,46.04408873,0.983467558
0tYH3kFkjABPxtnDy0hX5P,34451,출입구 및 전실,33114,6.930018343,20.65145466,10.80001747,3.30000873,2.100000003,2.98,1.571432726,5,94.22621354,4.56269135
0tYH3kFkjABPxtnDy0hX6$,36388,사무실,33606,195.949501,583.9295129,59.75986062,15.99999997,12.39996543,2.98,1.290326176,17,458.7948869,0.785702515
0tYH3kFkjABPxtnDy0hX6c,38416,사무실,33606,139.8766262,416.832346,50.22451267,10.55000003,13.45003462,2.98,0.784384601,25,95.01999996,0.227957357
0tYH3kFkjABPxtnDy0hX6e,39239,계단실,33101,14.300048,58.63019682,16.20001745,2.60000873,5.499999997,4.1,0.47272886,6,406.945722,6.940889577
0tYH3kFkjABPxtnDy0hX6j,39363,계단실,33101,14.29999999,58.62999996,16.19999999,2.6,5.499999997,4.1,0.472727273,7,46.04408873,0.785333255
